time	syntax_penn_tok1	syntax_penn_tok2	syntax_penn_lem1	syntax_penn_lem2	lexical_tok1	lexical_tok2	lexical_lem1	lexical_lem2	cosine_semanticL	partner_direction	utterance_length1	utterance_length2	condition_info
58	0.2886751345948129	0.0	0.2886751345948129	0.0	0.0	0.0	0.0	0.0	0.420477759480941	CHI>MOT	4	3	time1-time1-condTD
59	0.7071067811865476	0.0	0.7071067811865476	0.0	0.0	0.0	0.0	0.0	0.5613716156859179	MOT>CHI	3	6	time1-time1-condTD
60	0.43301270189221935	0.0	0.6405126152203486	0.23904572186687872	0.0	0.0	0.0	0.0	0.3785617480668936	CHI>MOT	6	11	time1-time1-condTD
61	0.6061678943403652	0.1543033499620919	0.6677703836348308	0.14400460822119582	0.0	0.0	0.1188643277625491	0.0	0.5029921638330848	MOT>CHI	11	29	time1-time1-condTD
62	0.3621429841700741	0.1360827634879543	0.3086066999241838	0.1270001270001905	0.25819888974716115	0.0	0.24743582965269675	0.0	0.5719755548584469	CHI>MOT	29	3	time1-time1-condTD
63	0.2886751345948129	0.22941573387056174	0.2721655269759087	0.24253562503633297	0.0	0.0	0.0	0.0	0.5178897154019058	MOT>CHI	3	31	time1-time1-condTD
64	0.35355339059327373	0.0	0.6666666666666666	0.24253562503633297	0.0	0.0	0.0	0.0	0.4288940039821245	CHI>MOT	31	3	time1-time1-condTD
65	0.35355339059327373	0.26726124191242434	0.35355339059327373	0.4714045207910316	0.14142135623730948	0.0	0.14142135623730948	0.0	0.4675767354792555	MOT>CHI	3	8	time1-time1-condTD
66	0.5103103630798287	0.11396057645963795	0.4558423058385518	0.20100756305184242	0.0659380473395787	0.0	0.1318760946791574	0.0	0.6200562744212647	CHI>MOT	8	15	time1-time1-condTD
67	0.4803844614152615	0.21320071635561041	0.280056016805602	0.21320071635561041	0.0	0.0	0.12038585308576923	0.0	0.6073281557998776	MOT>CHI	15	3	time1-time1-condTD
68	0.40824829046386296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19465673244753412	CHI>MOT	3	2	time1-time1-condTD
69	0.17677669529663687	0.0	0.42874646285627205	0.15811388300841897	0.0	0.0	0.0	0.0	0.29193647888389695	MOT>CHI	2	27	time1-time1-condTD
70	0.4861359120657514	0.15339299776947407	0.5573704017131537	0.28284271247461895	0.062257280636469035	0.0	0.062257280636469035	0.0	0.6530641935263549	CHI>MOT	27	6	time1-time1-condTD
71	0.5103103630798287	0.12909944487358055	0.5103103630798287	0.12909944487358055	0.12309149097933275	0.0	0.12309149097933275	0.0	0.5146314670458738	MOT>CHI	6	9	time1-time1-condTD
72	0.6030226891555273	0.0	0.6030226891555273	0.0	0.42640143271122083	0.0	0.42640143271122083	0.0	0.0	CHI>MOT	9	2	time1-time1-condTD
73	0.5773502691896258	0.4472135954999579	0.5773502691896258	0.4472135954999579	0.0	0.0	0.0	0.0	0.0	MOT>CHI	2	6	time1-time1-condTD
74	0.6064784348631228	0.11180339887498948	0.6040404496926219	0.11180339887498948	0.0	0.0	0.0	0.0	0.39146582540352837	CHI>MOT	6	17	time1-time1-condTD
75	0.4902903378454601	0.33541019662496846	0.7504787743864565	0.4472135954999579	0.07372097807744857	0.0	0.14744195615489714	0.0	0.36653922322034393	MOT>CHI	17	6	time1-time1-condTD
76	0.33806170189140655	0.0	0.33806170189140655	0.0	0.0	0.0	0.0	0.0	0.5350018857859983	CHI>MOT	6	5	time1-time1-condTD
77	0.31622776601683794	0.0	0.31622776601683794	0.0	0.0	0.0	0.0	0.0	0.4732544132448888	MOT>CHI	5	2	time1-time1-condTD
78	0.24999999999999994	0.0	0.24999999999999994	0.0	0.0	0.0	0.0	0.0	0.4209121463965271	CHI>MOT	2	6	time1-time1-condTD
79	0.6324555320336759	0.22360679774997896	0.6681531047810609	0.22360679774997896	0.0	0.0	0.0	0.0	0.562008490839603	MOT>CHI	6	5	time1-time1-condTD
80	0.31622776601683794	0.0	0.4364357804719848	0.17677669529663687	0.14907119849998599	0.0	0.29814239699997197	0.0	0.5543827106666267	CHI>MOT	5	9	time1-time1-condTD
81	0.21596710639534	0.16984155512168936	0.4879500364742666	0.2635231383473649	0.1965892748731962	0.0	0.3367876570272817	0.0	0.6235906323781772	MOT>CHI	9	34	time1-time1-condTD
82	0.5846128222154678	0.2773500981126146	0.788356122792286	0.43033148291193524	0.14744195615489714	0.0	0.07216878364870323	0.0	0.566013384056769	CHI>MOT	34	4	time1-time1-condTD
83	0.2357022603955158	0.40824829046386296	0.7071067811865475	0.6123724356957945	0.3333333333333333	0.0	0.3333333333333333	0.0	0.6834555936428124	MOT>CHI	4	9	time1-time1-condTD
84	0.11572751247156893	0.0	0.3442651863295481	0.0	0.0	0.0	0.08333333333333333	0.0	0.3772208669350561	CHI>MOT	9	16	time1-time1-condTD
85	0.3333333333333333	0.0	0.4522670168666454	0.1889822365046136	0.125	0.0	0.25	0.14907119849998599	0.6993494706916031	MOT>CHI	16	4	time1-time1-condTD
86	0.3692744729379982	0.11547005383792516	0.4242640687119285	0.12038585308576923	0.3333333333333333	0.0	0.43301270189221935	0.0	0.5607698957225872	CHI>MOT	4	24	time1-time1-condTD
87	0.29277002188455997	0.0	0.4147806778921702	0.0	0.0	0.0	0.0	0.0	0.46954390083916175	MOT>CHI	24	3	time1-time1-condTD
88	0.17025130615174972	0.0	0.2641352718976872	0.0	0.0	0.0	0.0	0.0	0.4674793114454693	CHI>MOT	3	25	time1-time1-condTD
89	0.6851601597031487	0.13801311186847084	0.5455447255899809	0.21428571428571425	0.10397504898200728	0.0	0.2258769757263128	0.0	0.5390122893685027	MOT>CHI	25	8	time1-time1-condTD
90	0.3779644730092272	0.1889822365046136	0.35355339059327373	0.1889822365046136	0.14142135623730948	0.0	0.14142135623730948	0.0	0.057846548125530584	CHI>MOT	8	5	time1-time1-condTD
91	0.2834733547569204	0.0	0.3999999999999999	0.0	0.0	0.0	0.0	0.0	0.2237434474516885	MOT>CHI	5	10	time1-time1-condTD
92	0.5	0.19245008972987526	0.5590169943749475	0.19245008972987526	0.0	0.0	0.0	0.0	0.2936658372680435	CHI>MOT	10	4	time1-time1-condTD
93	0.6123724356957945	0.0	0.7302967433402214	0.0	0.16666666666666666	0.0	0.16666666666666666	0.0	0.46063487269039793	MOT>CHI	4	9	time1-time1-condTD
94	0.45883146774112343	0.11180339887498948	0.6917144638660746	0.40824829046386296	0.0	0.0	0.0	0.0	0.7083976725535892	CHI>MOT	9	11	time1-time1-condTD
95	0.5735393346764044	0.18257418583505536	0.3441236008058426	0.16666666666666669	0.0	0.0	0.0	0.0	0.3891779903323067	MOT>CHI	11	4	time1-time1-condTD
96	0.5303300858899106	0.0	0.35355339059327373	0.0	0.0	0.0	0.0	0.0	0.2843548996059968	CHI>MOT	4	6	time1-time1-condTD
97	0.12499999999999997	0.0	0.18749999999999997	0.0	0.0	0.0	0.0	0.0	0.616658254502233	MOT>CHI	6	16	time1-time1-condTD
98	0.42257712736425823	0.17817416127494962	0.6324555320336759	0.2553769592276246	0.33806170189140655	0.0	0.42257712736425823	0.0	0.6207723436995812	CHI>MOT	16	7	time1-time1-condTD
99	0.2357022603955158	0.22645540682891918	0.4472135954999579	0.2182178902359924	0.3859224924939799	0.2100420126042015	0.3859224924939799	0.2100420126042015	0.5752866159474901	MOT>CHI	7	31	time1-time1-condTD
100	0.6236095644623235	0.17616606585441102	0.7280440075456133	0.11359236684941296	0.0879598994267085	0.0	0.0879598994267085	0.0	0.7053263545178309	CHI>MOT	31	11	time1-time1-condTD
101	0.2439750182371333	0.14907119849998599	0.13608276348795434	0.12403473458920847	0.12856486930664499	0.0	0.12309149097933275	0.0	0.7007057303025729	MOT>CHI	11	16	time1-time1-condTD
102	0.40269363312841466	0.0	0.6790180953188889	0.08770580193070293	0.0	0.0	0.0	0.0	0.3678226327636329	CHI>MOT	16	6	time1-time1-condTD
103	0.2886751345948129	0.0	0.5807207021949927	0.09534625892455921	0.0	0.0	0.07453559924999299	0.0	0.3931552526177946	MOT>CHI	6	22	time1-time1-condTD
104	0.7145896010104964	0.10660035817780521	0.7770286898858113	0.26111648393354675	0.1632993161855452	0.0	0.1632993161855452	0.0	0.5099984180951294	CHI>MOT	22	5	time1-time1-condTD
105	0.4264014327112209	0.15075567228888181	0.5439282932204212	0.33968311024337877	0.0	0.0	0.0	0.0	0.3559070074526831	MOT>CHI	5	12	time1-time1-condTD
106	0.4891159880445184	0.10050378152592121	0.5135525910130956	0.2307692307692308	0.0	0.0	0.0	0.0	0.39185841864376725	CHI>MOT	12	8	time1-time1-condTD
107	0.6087807775281011	0.0	0.6513389472789296	0.0	0.0	0.0	0.0	0.0	0.44585432177830886	MOT>CHI	8	15	time1-time1-condTD
108	0.6929348671835833	0.2970442628930023	0.6210590034081188	0.19611613513818402	0.15762208124782012	0.0	0.15762208124782012	0.0	0.3487604684603878	CHI>MOT	15	7	time1-time1-condTD
109	0.8682431421244593	0.2886751345948129	0.8090398349558905	0.4999999999999999	0.0	0.0	0.0	0.0	0.35310479462542066	MOT>CHI	7	3	time1-time1-condTD
110	0.4472135954999579	0.0	0.3651483716701107	0.0	0.0	0.0	0.0	0.0	0.0	CHI>MOT	3	4	time1-time1-condTD
111	0.30151134457776363	0.0	0.28284271247461895	0.0	0.0	0.0	0.15811388300841897	0.0	0.0	MOT>CHI	4	8	time1-time1-condTD
112	0.6154574548966638	0.19245008972987526	0.8485281374238569	0.9237604307034011	0.0	0.0	0.15811388300841897	0.0	0.28027240471300563	CHI>MOT	8	4	time1-time1-condTD
113	0.31622776601683794	0.0	0.36514837167011066	0.0	0.0	0.0	0.0	0.0	0.45619044054911995	MOT>CHI	4	9	time1-time1-condTD
114	0.2581988897471611	0.0	0.3872983346207417	0.0	0.0	0.0	0.0	0.0	0.40232657825681417	CHI>MOT	9	4	time1-time1-condTD
115	0.6761234037828132	0.25197631533948484	0.560448538317805	0.13245323570650439	0.0	0.0	0.0	0.0	0.4684422847958887	MOT>CHI	4	19	time1-time1-condTD
116	0.4428074427700477	0.0	0.44610890810959686	0.0	0.03872015463311832	0.0	0.03872015463311832	0.0	0.5711298378337715	CHI>MOT	19	17	time1-time1-condTD
117	0.6210590034081188	0.4458225700602823	0.6240377207533828	0.390094748802747	0.31526414437773154	0.0	0.31526414437773154	0.0	0.5840141939466991	MOT>CHI	17	13	time1-time1-condTD
118	0.625	0.4008918628686366	0.5	0.2672612419124244	0.21693045781865616	0.0	0.21693045781865616	0.0	0.5346099031067273	CHI>MOT	13	5	time1-time1-condTD
119	0.3015113445777636	0.2721655269759087	0.22645540682891913	0.12909944487358055	0.435285750066007	0.1	0.4949747468305832	0.1	0.5479164076231402	MOT>CHI	5	22	time1-time1-condTD
120	0.6894410398057407	0.16222142113076252	0.5014858873767987	0.3471825374147068	0.22282825891079322	0.0	0.26062334565784157	0.0	0.675086015015809	CHI>MOT	22	29	time1-time1-condTD
121	0.47628967220784024	0.09805806756909201	0.4535573676110726	0.09805806756909201	0.18907604749897633	0.0	0.22058872208213906	0.0	0.5979330042948385	MOT>CHI	29	13	time1-time1-condTD
122	0.20965696734438366	0.0	0.4622501635210243	0.0	0.16222142113076252	0.0	0.32444284226152503	0.0	0.7250137809901155	CHI>MOT	13	8	time1-time1-condTD
123	0.35355339059327373	0.2519763153394848	0.4767312946227962	0.14285714285714285	0.0	0.0	0.0	0.0	0.34015697343380646	MOT>CHI	8	8	time1-time1-condTD
124	0.35355339059327373	0.0	0.31980107453341566	0.16903085094570328	0.0	0.0	0.12909944487358058	0.0	0.346631005106423	CHI>MOT	8	6	time1-time1-condTD
125	0.5677749739576687	0.40451991747794525	0.5144957554275265	0.14907119849998599	0.0	0.0	0.0	0.0	0.5920491579165154	MOT>CHI	6	10	time1-time1-condTD
126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3923464674432777	CHI>MOT	10	2	time1-time1-condTD
127	0.4714045207910316	0.4082482904638631	0.4714045207910316	0.4082482904638631	0.0	0.0	0.26726124191242434	0.0	0.7928072401666482	MOT>CHI	2	7	time1-time1-condTD
128	0.2357022603955158	0.0	0.2357022603955158	0.0	0.0	0.0	0.0	0.0	0.31192244964997784	CHI>MOT	7	2	time1-time1-condTD
129	0.5897678246195885	0.31622776601683794	0.7385489458759964	0.2886751345948129	0.0	0.0	0.0	0.0	0.44548313868963263	MOT>CHI	2	11	time1-time1-condTD
130	0.22941573387056174	0.14142135623730948	0.06681531047810609	0.0	0.2461829819586655	0.0	0.2461829819586655	0.0	0.6742924958397947	CHI>MOT	11	6	time1-time1-condTD
131	0.23570226039551587	0.0	0.40824829046386296	0.0	0.0	0.0	0.0	0.0	0.36929630631045085	MOT>CHI	6	3	time1-time1-condTD
132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2393206416324719	CHI>MOT	3	3	time1-time1-condTD
133	0.18257418583505533	0.0	0.18257418583505533	0.0	0.18257418583505536	0.0	0.18257418583505536	0.0	0.5747540038883271	MOT>CHI	3	10	time1-time1-condTD
134	0.33968311024337877	0.0	0.10101525445522107	0.0	0.23904572186687872	0.0	0.23904572186687872	0.0	0.6659309726979299	CHI>MOT	10	7	time1-time1-condTD
135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5735921193094049	MOT>CHI	7	4	time1-time1-condTD
136	0.24253562503633297	0.0	0.3273268353539886	0.0	0.0	0.0	0.0	0.0	0.3957545649310388	CHI>MOT	4	14	time1-time1-condTD
137	0.0	0.0	0.1543033499620919	0.0	0.0	0.0	0.0	0.0	0.2889910200141321	MOT>CHI	14	2	time1-time1-condTD
138	0.1360827634879543	0.0	0.43301270189221935	0.0	0.0	0.0	0.0	0.0	0.3500357324218131	CHI>MOT	2	19	time1-time1-condTD
139	0.5547001962252291	0.09128709291752768	0.7299963950884313	0.2809757434745082	0.07018624063435965	0.0	0.0657951694959769	0.0	0.5681501375808131	MOT>CHI	19	7	time1-time1-condTD
140	0.1111111111111111	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.3780930011234127	CHI>MOT	7	7	time1-time1-condTD
141	0.5952291104443191	0.16012815380508716	0.539319371630006	0.1543033499620919	0.0	0.0	0.12777531299998798	0.0	0.4879623842611235	MOT>CHI	7	25	time1-time1-condTD
142	0.21170244960998524	0.0	0.43033148291193524	0.08770580193070293	0.2672612419124244	0.13801311186847084	0.4810702354423639	0.34503277967117707	0.8451076725753974	CHI>MOT	25	8	time1-time1-condTD
143	0.12830005981991682	0.0	0.33407655239053047	0.0	0.0	0.0	0.08770580193070293	0.0	0.49411202785271136	MOT>CHI	8	13	time1-time1-condTD
144	0.27386127875258304	0.0	0.3508232077228117	0.0	0.11322770341445959	0.0	0.11322770341445959	0.0	0.6905629244811896	CHI>MOT	13	6	time1-time1-condTD
145	0.4082482904638631	0.0	0.5000000000000001	0.2581988897471611	0.0	0.0	0.0	0.0	0.5388422522847343	MOT>CHI	6	4	time1-time1-condTD
146	0.6123724356957946	0.2581988897471611	0.6666666666666667	0.2581988897471611	0.0	0.0	0.0	0.0	0.3515254563160286	CHI>MOT	4	6	time1-time1-condTD
147	0.408248290463863	0.07071067811865474	0.7284927963857741	0.13801311186847084	0.16222142113076254	0.0	0.14744195615489714	0.0	0.47115616927496085	MOT>CHI	6	31	time1-time1-condTD
148	0.3857583749052298	0.0	0.6123724356957945	0.1543033499620919	0.1777046633277277	0.0	0.2153527608232662	0.0	0.5928844721328838	CHI>MOT	31	5	time1-time1-condTD
149	0.31622776601683794	0.22941573387056174	0.300964632714423	0.2182178902359924	0.09534625892455921	0.0	0.09534625892455921	0.0	0.5252888209793324	MOT>CHI	5	20	time1-time1-condTD
150	0.4225771273642583	0.14509525002200233	0.39405520311955033	0.20701966780270628	0.06428243465332249	0.0	0.06428243465332249	0.0	0.6226308929915724	CHI>MOT	20	11	time1-time1-condTD
151	0.33333333333333337	0.18257418583505536	0.33333333333333337	0.0	0.15075567228888181	0.0	0.15075567228888181	0.0	0.22876746672351844	MOT>CHI	11	4	time1-time1-condTD
152	0.20412414523193154	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.09060447783354997	CHI>MOT	4	4	time1-time1-condTD
153	0.23249527748763857	0.0	0.5590169943749475	0.0	0.24019223070763068	0.0	0.32025630761017426	0.0	0.4745740897421299	MOT>CHI	4	25	time1-time1-condTD
154	0.6285872661926204	0.10660035817780521	0.7253185207353657	0.10206207261596577	0.14322297480788657	0.0	0.14322297480788657	0.0	0.41689284375945446	CHI>MOT	25	5	time1-time1-condTD
